

# Data from male_chn
"AverageAge"	"P1"	"P2"
33	0.0313145871480261	0.046531706536199
34	0.0313145871480261	0.046531706536199
35	0.0313145871480261	0.046531706536199
36	0.0324755560942719	0.0455437860671024
37	0.0324755560942719	0.0455437860671024
38	0.0324755560942719	0.0455437860671024
39	0.0324755560942719	0.0455437860671024
40	0.0324755560942719	0.0455437860671024
41	0.0330883729063327	0.0453939073443485
42	0.0330883729063327	0.0453939073443485
43	0.0330883729063327	0.0453939073443485
44	0.0330883729063327	0.0453939073443485
45	0.0330883729063327	0.0453939073443485
46	0.0330938128264458	0.0457212790518412
47	0.0330938128264458	0.0457212790518412
48	0.0330938128264458	0.0457212790518412
49	0.0330938128264458	0.0457212790518412
50	0.0330938128264458	0.0457212790518412
51	0.0326431643117306	0.0464505592928424
52	0.0326431643117306	0.0464505592928424
53	0.0326431643117306	0.0464505592928424
54	0.0326431643117306	0.0464505592928424
55	0.0326431643117306	0.0464505592928424
56	0.0325793120140938	0.0475302885351726
57	0.0325793120140938	0.0475302885351726
58	0.0325793120140938	0.0475302885351726
59	0.0325793120140938	0.0475302885351726
60	0.0325793120140938	0.0475302885351726
61	0.0331731554461893	0.0487748485807481
62	0.0331731554461893	0.0487748485807481
63	0.0331731554461893	0.0487748485807481
64	0.0331731554461893	0.0487748485807481
65	0.0331731554461893	0.0487748485807481
66	0.0344945039307228	0.0500324903505861
67	0.0344945039307228	0.0500324903505861
68	0.0344945039307228	0.0500324903505861
69	0.0344945039307228	0.0500324903505861
70	0.0344945039307228	0.0500324903505861
71	0.0365017675932915	0.0511947479877662
72	0.0365017675932915	0.0511947479877662
73	0.0365017675932915	0.0511947479877662
74	0.0365017675932915	0.0511947479877662
75	0.0365017675932915	0.0511947479877662
76	0.0387787603176502	0.0521951902372094
77	0.0387787603176502	0.0521951902372094
78	0.0387787603176502	0.0521951902372094
79	0.0387787603176502	0.0521951902372094
80	0.0387787603176502	0.0521951902372094
81	0.0412321270992674	0.0530516186978207
82	0.0412321270992674	0.0530516186978207
83	0.0412321270992674	0.0530516186978207
84	0.0412321270992674	0.0530516186978207
85	0.0412321270992674	0.0530516186978207
86	0.0438861620820985	0.0537930416980952
87	0.0438861620820985	0.0537930416980952
88	0.0438861620820985	0.0537930416980952
89	0.0438861620820985	0.0537930416980952
90	0.0438861620820985	0.0537930416980952
