sim_year,agent_gender,agent_race,albumin_scenario,eGFR_stage,age_group,mortality_rate
1990,female,chinese,4,1,85+,0.11902464422075666
1990,female,chinese,4,2,85+,0.11902464422075666
1990,female,chinese,4,3.1,85+,0.14282957306490798
1990,female,chinese,4,3.2,85+,0.214244359597362
1990,female,chinese,4,4,85+,0.38087886150642136
1990,female,chinese,4,5,85+,0.7022454009024642
1990,female,indian,0,1,0,0.0062
1990,female,indian,0,2,0,0.0062
1990,female,indian,0,1,1-4,0.0002
1990,female,indian,0,2,1-4,0.0002
1990,female,indian,0,1,10-14,0.0002
1990,female,indian,0,2,10-14,0.0002
1990,female,indian,0,1,15-19,0.0002
1990,female,indian,0,2,15-19,0.0002
1990,female,indian,0,1,20-24,0.0004
1990,female,indian,0,2,20-24,0.0004
1990,female,indian,0,1,25-29,0.0004
1990,female,indian,0,2,25-29,0.0004
1990,female,indian,0,1,30-34,0.0006
1990,female,indian,0,2,30-34,0.0006
1990,female,indian,0,1,35-39,0.001
1990,female,indian,0,2,35-39,0.001
1990,female,indian,0,1,40-44,0.0014
1990,female,indian,0,2,40-44,0.0014
1990,female,indian,0,1,45-49,0.0024
1990,female,indian,0,2,45-49,0.0024
1990,female,indian,0,1,5-9,0.0001
1990,female,indian,0,2,5-9,0.0001
1990,female,indian,0,1,50-54,0.00419558359621451
1990,female,indian,0,2,50-54,0.00419558359621451
1990,female,indian,0,3.1,50-54,0.005034700315457412
1990,female,indian,0,1,55-59,0.007400000000000001
1990,female,indian,0,2,55-59,0.007400000000000001
1990,female,indian,0,1,60-64,0.0109
1990,female,indian,0,2,60-64,0.0109
1990,female,indian,0,1,65-69,0.0186
1990,female,indian,0,2,65-69,0.0186
1990,female,indian,0,1,70-74,0.0313
1990,female,indian,0,2,70-74,0.0313
1990,female,indian,0,1,75-79,0.04727472527472518
1990,female,indian,0,2,75-79,0.04727472527472518
1990,female,indian,0,3.1,75-79,0.05672967032967021
1990,female,indian,0,1,80-84,0.0785999999999999
1990,female,indian,0,2,80-84,0.0785999999999999
1990,female,indian,0,1,85+,0.1294
1990,female,indian,0,2,85+,0.1294
1990,female,indian,1,1,0,0.0062
1990,female,indian,1,2,0,0.0062
1990,female,indian,1,1,1-4,0.0002
1990,female,indian,1,2,1-4,0.0002
1990,female,indian,1,1,10-14,0.0002
1990,female,indian,1,2,10-14,0.0002
1990,female,indian,1,1,15-19,0.0002
1990,female,indian,1,2,15-19,0.0002
1990,female,indian,1,1,20-24,0.0004
