parti,gen_thresh,diab_thresh,hyper_thresh,TP,FN,FP,TN,Total_Screened,NNS,sensitivity,specificity,Dist_to_Perfect
1.0,55,55,45,1176151,883406,842217,772901,3191695,2.713677920607133,0.5710698951279328,0.4785415059456956,0.6752036699300038
1.0,55,55,50,1174947,884610,840955,774163,3084105,2.6248886119969668,0.5704853033929141,0.47932287300370624,0.6749722551176394
1.0,55,55,55,1171839,887718,837472,777646,2922598,2.4940269098400036,0.568976241007168,0.48147937178583855,0.674273774293439
1.0,60,35,35,1173475,886082,838977,776141,3227283,2.7501932295106415,0.5697705865873098,0.48054755132442334,0.6744836503581686
1.0,60,40,35,1173472,886085,838975,776143,3223027,2.7465734163235256,0.5697691299633854,0.48054878962403985,0.6744836258157142
1.0,60,40,40,1173404,886153,838918,776200,3174013,2.7049618034368383,0.5697361131544307,0.4805840811631101,0.6744775081977363
1.0,60,45,35,1173442,886115,838962,776156,3215650,2.740357001027746,0.5697545637241407,0.4805568385715471,0.6744867184689335
1.0,60,45,40,1173374,886183,838905,776213,3166636,2.698743963987612,0.5697215469151862,0.4805921301106173,0.6744806020131981
1.0,60,45,45,1172935,886622,838575,776543,3092130,2.636233039341481,0.569508394280906,0.4807964495473396,0.6744593015128876
1.0,60,50,35,1173335,886222,838864,776254,3205577,2.7320219715596994,0.5697026108041681,0.48061751525275553,0.6744731340913224
1.0,60,50,40,1173267,886290,838807,776311,3156563,2.690404656399609,0.5696695939952136,0.48065280679182576,0.6744670232305305
1.0,60,50,45,1172828,886729,838477,776641,3082057,2.6278849072498267,0.5694564413609334,0.480857126228548,0.674445757102284
1.0,60,50,50,1171624,887933,837215,777903,2974467,2.5387556076010735,0.5688718496259147,0.4816384932865586,0.674218164756193
1.0,60,55,35,1173117,886440,838661,776457,3194116,2.7227599634137087,0.5695967627989903,0.48074320266383014,0.6744438954968195
1.0,60,55,40,1173049,886508,838604,776514,3145102,2.6811343771658303,0.5695637459900357,0.48077849420290036,0.6744377961297381
1.0,60,55,45,1172610,886947,838274,776844,3070596,2.618599534372042,0.5693505933557557,0.48098281363962264,0.6744166006115823
1.0,60,55,50,1171406,888151,837012,778106,2963006,2.529444103922978,0.5687660016207369,0.4817641806976332,0.6741892358723638
1.0,60,55,55,1168298,891259,833529,781589,2801499,2.39793186327461,0.5672569392349909,0.4839206794797656,0.6735016122541172
1.0,60,60,35,1172564,886993,838173,776945,3181086,2.712931660873095,0.5693282584555805,0.4810453477702558,0.6743827400191955
1.0,60,60,40,1172496,887061,838116,777002,3132072,2.6712858721906088,0.5692952416466259,0.481080639309326,0.674376669056586
1.0,60,60,45,1172057,887500,837786,777332,3057566,2.6087178353953777,0.5690820890123458,0.48128495874604826,0.6743556480322922
1.0,60,60,50,1170853,888704,836524,778594,2949976,2.5195101349187303,0.5684974972773271,0.4820663258040589,0.6741288457869441
1.0,60,60,55,1167745,891812,833041,782077,2788469,2.3879091753764734,0.566988434891581,0.4842228245861912,0.6734427297072033
1.0,60,60,60,1159431,900126,824610,790508,2566295,2.2134089911344446,0.5629516444555795,0.4894428766195411,0.6720713067216985
