stage,ethnicity,age_group,year,prevalence,lower,upper
K4,overall,41-50,1995,0.01,0.0,0.02
K5,overall,41-50,1995,0.0,0.0,0.0
K1,overall,51-60,1995,5.59,3.73,7.45
K2,overall,51-60,1995,2.44,2.06,2.82
K3a,overall,51-60,1995,1.0,0.91,1.08
K3b,overall,51-60,1995,0.35,0.29,0.42
K4,overall,51-60,1995,0.09,0.04,0.14
K5,overall,51-60,1995,0.01,0.0,0.03
K1,overall,61-70,1995,9.37,7.66,11.07
K2,overall,61-70,1995,7.63,6.71,8.55
K3a,overall,61-70,1995,3.41,3.27,3.55
K3b,overall,61-70,1995,2.0,1.73,2.27
K4,overall,61-70,1995,0.57,0.3,0.83
K5,overall,61-70,1995,0.22,0.08,0.36
K1,overall,71-80,1995,10.02,8.33,11.71
K2,overall,71-80,1995,13.13,12.22,14.05
K3a,overall,71-80,1995,6.69,6.52,6.85
K3b,overall,71-80,1995,5.98,5.78,6.19
K4,overall,71-80,1995,1.9,1.5,2.3
K5,overall,71-80,1995,0.82,0.49,1.14
K1,overall,80+,1995,13.95,11.11,16.79
K2,overall,80+,1995,16.31,14.73,17.9
K3a,overall,80+,1995,6.6,6.49,6.7
K3b,overall,80+,1995,7.46,7.21,7.7
K4,overall,80+,1995,2.3,1.66,2.94
K5,overall,80+,1995,0.78,0.62,0.95
K1,overall,Overall,1996,3.71,2.54,4.87
K2,overall,Overall,1996,1.76,1.53,2.0
K3a,overall,Overall,1996,0.75,0.72,0.78
K3b,overall,Overall,1996,0.49,0.45,0.52
K4,overall,Overall,1996,0.14,0.1,0.18
K5,overall,Overall,1996,0.06,0.04,0.09
K1,chn,Overall,1996,2.96,1.98,3.94
K2,chn,Overall,1996,1.8,1.52,2.08
K3a,chn,Overall,1996,0.84,0.81,0.87
K3b,chn,Overall,1996,0.5,0.47,0.53
K4,chn,Overall,1996,0.15,0.1,0.2
K5,chn,Overall,1996,0.06,0.03,0.09
K1,mal,Overall,1996,4.36,3.07,5.64
K2,mal,Overall,1996,1.53,1.39,1.68
K3a,mal,Overall,1996,0.59,0.57,0.61
K3b,mal,Overall,1996,0.48,0.44,0.52
K4,mal,Overall,1996,0.12,0.08,0.15
K5,mal,Overall,1996,0.05,0.03,0.07
K1,ind,Overall,1996,3.57,2.33,4.81
K2,ind,Overall,1996,2.94,2.38,3.5
K3a,ind,Overall,1996,1.3,1.23,1.37
K3b,ind,Overall,1996,0.63,0.6,0.65
K4,ind,Overall,1996,0.23,0.16,0.3
K5,ind,Overall,1996,0.17,0.1,0.24
K1,overall,18-30,1996,1.2,0.74,1.66
K2,overall,18-30,1996,0.1,0.06,0.14
K3a,overall,18-30,1996,0.03,0.03,0.03
K3b,overall,18-30,1996,0.0,0.0,0.0
K4,overall,18-30,1996,0.0,0.0,0.0
